lga_code_2021,LRT,subway,rail,bus,ferry,cable_tram,aerial_lift,funicular,trolleybus,monorail
20110,0,0,0,0.006195864856306286,0,0,0,0,0,0
20260,0,0,0.0023802331639546964,0.06557542366695103,0,0,0,0,0,0
20570,0,0,0.26071903149418585,16.328990955410372,0,0,0,0,0,0
20660,13.53544408093623,0,39.978556155145604,406.8222891872339,0,0,0,0,0,0
20740,0,0,0,0.8707007139616864,0,0,0,0,0,0
20830,0,0,0.08828624331028556,0.3186671918124283,0,0,0,0,0,0
20910,25.388514207714664,0,67.17815126580464,443.7030261082871,0,0,0,0,0,0
21010,0,0,0.005128562437808003,0.18313241705004224,0,0,0,0,0,0
21110,375.8398858275811,0,88.87964689888611,248.7553435492545,0,0,0,0,0,0
21180,0.0012813248638078806,0,31.656591503131693,282.65087306779037,0,0,0,0,0,0
21270,0,0,0,0.002193268620366051,0,0,0,0,0,0
21370,0,0,0.001403852636785292,0.09414596267009266,0,0,0,0,0,0
21450,0,0,1.0990748885176058,2.940742911605534,0,0,0,0,0,0
21610,0,0,4.699127363838753,90.55943522814566,0,0,0,0,0,0
21670,0,0,0.007856878679849091,0.30674563845910274,0,0,0,0,0,0
21750,0,0,0.009341996488711164,0.09393774564936122,0,0,0,0,0,0
21830,0,0,0.007281293083406717,0.0015927828619951045,0,0,0,0,0,0
21890,235.0635862990282,0,76.2474559212764,630.0868195737281,0,0,0,0,0,0
22110,0,0,2.8804944790161377e-4,0.01809115044001246,0,0,0,0,0,0
22170,0,0,8.298123800750187,153.23938257123646,0,0,0,0,0,0
22250,0,0,0.0021482012408474273,0.004418899207736565,0,0,0,0,0,0
22310,248.9995058166637,0,146.95011770477697,452.27045577577366,0,0,0,0,0,0
22410,0,0,0,0.040340926507852856,0,0,0,0,0,0
22490,0,0,0,0.01929102371258858,0,0,0,0,0,0
22620,0,0,0.0641719824372213,4.708657330128892,0,0,0,0,0,0
22670,0,0,28.443239406356774,214.84191065313004,0,0,0,0,0,0
22750,0,0,0.8969801531305789,27.50021812183385,0,0,0,0,0,0
22830,0,0,0.020749962211778585,1.5288572157638576,0,0,0,0,0,0
22910,0,0,0.012076152782443023,0.39703080612759445,0,0,0,0,0,0
22980,0,0,0,9.304606748322323e-4,0,0,0,0,0,0
23110,0,0,38.874926382410926,286.7889734322349,0,0,0,0,0,0
23190,0,0,0,0.18713371696308753,0,0,0,0,0,0
23270,0,0,5.099781625401658,74.67094703703336,0,0,0,0,0,0
23350,0,0,0.0059144358606760625,0.02371087276492185,0,0,0,0,0,0
23430,0,0,51.47674069930679,285.73537323387694,0,0,0,0,0,0
23670,0,0,6.968357345404449,225.21096781923228,0,0,0,0,0,0
23810,0,0,0.14530249395704542,3.430535470869046,0,0,0,0,0,0
23940,0,0,0.0023980813246503117,0.0028477215730219147,0,0,0,0,0,0
24130,0,0,0.3344886780870102,0.44844795222054334,0,0,0,0,0,0
24210,0,0,1.614555676799067e-4,342.28628894870707,0,0,0,0,0,0
24250,0,0,0,0.004054923878224819,0,0,0,0,0,0
24330,114.62938401173402,0,155.19088173709522,723.6069510518414,0,0,0,0,0,0
24410,0,0,23.715381232841224,315.1641337047243,0,0,0,0,0,0
24600,1726.2052740934917,0,648.9871584025145,588.9820393683029,0,0,0,0,0,0
24650,0,0,1.538064875915879,30.867030574136148,0,0,0,0,0,0
24780,0,0,0,0.12564334360694285,0,0,0,0,0,0
24850,0,0,0.15167644918891496,0.4954061801054402,0,0,0,0,0,0
24900,0,0,0,0.0650711601018661,0,0,0,0,0,0
24970,0.07574998337106273,0,45.70051342169198,566.3449785841847,0,0,0,0,0,0
25060,254.6477629397072,0,54.126830508826814,511.7856530807686,0,0,0,0,0,0
25150,0,0,0.11894403216175573,0.8879717491623587,0,0,0,0,0,0
25250,308.3557874853572,0,63.56985380363512,417.7994210914004,0,0,0,0,0,0
25340,0,0,0.2909313528509767,15.545003501761956,0,0,0,0,0,0
25430,0,0,0.0577699242082201,0.17233764106758037,0,0,0,0,0,0
25490,0,0,0,0.029808265323123195,0,0,0,0,0,0
25620,0,0,0,0.04318327997686061,0,0,0,0,0,0
25710,0.026434407774501213,0,1.1527240434399793,22.7382432251427,0,0,0,0,0,0
25810,0,0,0,0.05847639677335011,0,0,0,0,0,0
25900,1013.1278176094045,0,37.9622937714522,439.88722444862805,0,0,0,0,0,0
25990,0,0,0.005841309089372536,0.0060528469947095185,0,0,0,0,0,0
26080,0,0,0,34.92586011329503,0,0,0,0,0,0
26170,0,0,0,0.04026266133109947,0,0,0,0,0,0
26260,0,0,0,0.044523278809615624,0,0,0,0,0,0
26350,741.4512210544185,0,234.14492071180004,394.79611296776187,0,0,0,0,0,0
26430,0,0,0.017041196750653666,0.0028909173059143705,0,0,0,0,0,0
26490,0,0,0.010344141890593768,0.7654743620504381,0,0,0,0,0,0
26610,0,0,4.7376711324121436e-4,0.04761973004533523,0,0,0,0,0,0
26670,0,0,0,7.819987881495769e-4,0,0,0,0,0,0
26700,0,0,0.006620337865599138,0.31736143435642583,0,0,0,0,0,0
26730,0,0,0.19887231255860477,18.74216635387046,0,0,0,0,0,0
26810,0,0,0.0033473596906070076,0.04728145562981963,0,0,0,0,0,0
26890,0,0,0,6.581762322113226e-4,0,0,0,0,0,0
26980,74.69708268769705,0,46.42004322957804,616.5614734547124,0,0,0,0,0,0
27070,1.6762904100526965,0,4.655702209861514,79.67015128056745,0,0,0,0,0,0
27170,0,0,0.027867546904207632,1.8824772943998032,0,0,0,0,0,0
27260,0,0,2.553977145248832,61.63975224800426,0,0,0,0,0,0
27350,871.1087827367693,0,379.2553479835537,536.9330999670477,0,0,0,0,0,0
27450,0,0,0.44142250068816824,7.015921744640239,0,0,0,0,0,0
27630,0,0,0,0.006561541467223938,0,0,0,0,0,0
29399,0,0,0,0.003557738436482896,0,0,0,0,0,0
29499,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0
